model,n,nbar,Ne,time,speedup,drag,lift
HPROM-35,35,-,336,17.58,703x,0.117,1.74
HPROM-10,10,-,84,2.61,4738x,0.628,14.98
HQPROM,10,-,165,8.76,1412x,0.356,19.07
HPROM-ANN-5,5,30,88,3.17,3901x,0.374,35.78
HPROM-RBF-5,5,30,87,1.41,8770x,0.205,18.99
HPROM-GPR-5,5,30,81,10.35,1195x,0.097,5.64
Local-HPROM,14-35,-,229,5.26,2351x,0.080,5.06
Local-HQPROM,7-10,-,158,8.88,1392x,0.629,69.41
Local-HPROM-ANN,3,11-32,60,2.67,4631x,0.537,53.67
Local-HPROM-RBF,3,11-32,67,1.25,9892x,0.101,9.96
Local-HPROM-GPR,3,11-32,54,0.92,13440x,0.348,38.22
